file,duration,loudness_db,rms,zero_crossing_rate,spectral_centroid,spectral_bandwidth,spectral_rolloff,tempo,mfcc1_mean,mfcc2_mean,mfcc3_mean,mfcc4_mean,mfcc5_mean,mfcc6_mean,mfcc7_mean,mfcc8_mean,mfcc9_mean,mfcc10_mean,mfcc11_mean,mfcc12_mean,mfcc13_mean,mfcc1_std,mfcc2_std,mfcc3_std,mfcc4_std,mfcc5_std,mfcc6_std,mfcc7_std,mfcc8_std,mfcc9_std,mfcc10_std,mfcc11_std,mfcc12_std,mfcc13_std,chroma1_mean,chroma2_mean,chroma3_mean,chroma4_mean,chroma5_mean,chroma6_mean,chroma7_mean,chroma8_mean,chroma9_mean,chroma10_mean,chroma11_mean,chroma12_mean
A_hype_reggaeton_futuristic.wav,20.0,-21.566185,0.083500825,0.04643356876332622,3638.539945019265,4428.980608197423,8478.14082489339,152.02702702702703,-279.07788,88.92979,-7.516669,34.72276,-4.387722,9.6768875,-9.752726,2.2039993,-4.6417828,4.284934,0.46367484,1.5966318,-0.27400622,142.64014,51.47991,23.727528,29.295034,21.853163,18.049772,17.1553,14.447171,12.879584,12.52785,9.881222,10.4237585,10.299303,0.42286727,0.45657358,0.47140157,0.522156,0.7189127,0.53137654,0.46073377,0.4659215,0.5485798,0.5415797,0.46851778,0.45607892
B_chill_jazz_soul_90s.wav,20.0,-21.957802,0.07981967,0.048994702825159914,3753.397079768118,4487.678035310822,8477.2662913113,102.27272727272727,-306.72568,86.865135,-4.880241,38.486816,-4.4491377,15.568502,-9.008129,11.675632,-2.864267,7.0672507,-2.0617616,3.4915497,0.90513176,161.0956,58.153255,34.58951,27.694302,24.520044,15.384458,16.7558,14.213852,12.808702,12.358045,12.440918,10.129897,10.170227,0.51427555,0.501321,0.5258385,0.5189005,0.68648523,0.5774967,0.5246616,0.5144543,0.52387094,0.59427226,0.5049981,0.50721043
C_happy_folk_rock_medieval.wav,20.0,-21.167,0.08742791,0.07234292752198827,4058.403365698483,4458.783808990287,8860.312000266524,148.02631578947367,-264.41684,86.519356,-3.714494,40.04266,-15.38056,14.897638,-11.62106,8.707576,-0.9093011,5.0386024,-2.178916,-0.1943159,-2.185791,135.4946,45.117542,27.938328,30.719797,22.662786,17.151049,15.196598,15.258807,13.257726,12.159348,11.588414,10.322552,9.134938,0.4693157,0.49104264,0.37796125,0.3591061,0.37748477,0.4536726,0.6315838,0.44707802,0.3850068,0.44607422,0.59347624,0.60745037
D_hype_electronic_dance_actual.wav,20.0,-18.279509,0.12190586,0.03802295025986141,2844.1301223705527,3752.0557806881325,6282.849147121535,148.02631578947367,-291.03326,113.376785,10.616123,46.40937,4.569109,16.612595,-3.121293,9.609756,2.625596,9.845575,1.0004629,0.6090888,1.02586,126.53468,56.35371,37.635353,29.071167,24.945812,15.258356,14.851446,12.919614,12.216823,11.705441,12.292425,10.04881,9.741448,0.55583555,0.59753716,0.56542563,0.5813896,0.5668906,0.6525202,0.7832321,0.61195326,0.5349658,0.50638694,0.57290095,0.60707736
